Dataset,CAV Receiver,CAV Sender,Tau
Sample_1,cav1,cav2,0.05228758169934641
Sample_1,cav1,cav3,0.1830065359477124
Sample_1,cav1,cav4,0.6143790849673203
Sample_1,cav2,cav1,0.10457516339869281
Sample_1,cav2,cav3,0.2679738562091503
Sample_1,cav2,cav4,-0.28104575163398693
Sample_1,cav3,cav1,0.0915032679738562
Sample_1,cav3,cav2,0.3137254901960784
Sample_1,cav3,cav4,0.16993464052287582
Sample_1,cav4,cav1,0.11764705882352941
Sample_1,cav4,cav2,0.24836601307189543
Sample_1,cav4,cav3,-0.2222222222222222
Sample_2,cav1,cav2,0.5402298850574713
Sample_2,cav1,cav3,0.47126436781609193
Sample_2,cav1,cav4,0.4850574712643678
Sample_2,cav2,cav1,0.07126436781609195
Sample_2,cav2,cav3,0.1425287356321839
Sample_2,cav2,cav4,0.08045977011494253
Sample_2,cav3,cav1,0.39080459770114945
Sample_2,cav3,cav2,0.3471264367816092
Sample_2,cav3,cav4,0.4045977011494253
Sample_2,cav4,cav1,0.1425287356321839
Sample_2,cav4,cav2,-0.013793103448275862
Sample_2,cav4,cav3,0.1310344827586207
Sample_3,cav1,cav2,0.5049261083743842
Sample_3,cav1,cav3,0.5024630541871922
Sample_3,cav1,cav4,0.6551724137931034
Sample_3,cav2,cav1,0.30049261083743845
Sample_3,cav2,cav3,0.2733990147783251
Sample_3,cav2,cav4,0.4187192118226601
Sample_3,cav3,cav1,0.3645320197044335
Sample_3,cav3,cav2,0.29310344827586204
Sample_3,cav3,cav4,0.29064039408866993
Sample_3,cav4,cav1,0.0960591133004926
Sample_3,cav4,cav2,-0.20935960591133004
Sample_3,cav4,cav3,0.019704433497536946
Sample_4,cav1,cav2,0.31827956989247314
Sample_4,cav1,cav3,0.6709677419354839
Sample_4,cav1,cav4,0.221505376344086
Sample_4,cav2,cav1,0.16344086021505377
Sample_4,cav2,cav3,0.20430107526881722
Sample_4,cav2,cav4,0.12043010752688173
Sample_4,cav3,cav1,0.4150537634408602
Sample_4,cav3,cav2,0.41935483870967744
Sample_4,cav3,cav4,0.3849462365591398
Sample_4,cav4,cav1,-0.004301075268817204
Sample_4,cav4,cav2,0.047311827956989246
Sample_4,cav4,cav3,0.14193548387096774
Sample_5,cav1,cav2,0.4075079149706015
Sample_5,cav1,cav3,0.47218453188602444
Sample_5,cav1,cav4,0.352329262777024
Sample_5,cav2,cav1,0.1650836725463591
Sample_5,cav2,cav3,0.25237449118046135
Sample_5,cav2,cav4,0.20488466757123475
Sample_5,cav3,cav1,0.09633649932157395
Sample_5,cav3,cav2,0.02125734961555857
Sample_5,cav3,cav4,-0.04568068747173225
Sample_5,cav4,cav1,0.09724106739032112
Sample_5,cav4,cav2,0.005879692446856626
Sample_5,cav4,cav3,0.18588873812754408
Orig_1,cav1,cav2,0.3161764705882353
Orig_1,cav1,cav3,0.11029411764705882
Orig_1,cav1,cav4,0.04411764705882353
Orig_1,cav2,cav1,0.1323529411764706
Orig_1,cav2,cav3,0.10294117647058823
Orig_1,cav2,cav4,0.09558823529411764
Orig_1,cav3,cav1,0.022058823529411766
Orig_1,cav3,cav2,-0.11764705882352941
Orig_1,cav3,cav4,-0.13970588235294118
Orig_1,cav4,cav1,0.007352941176470588
Orig_1,cav4,cav2,0.0661764705882353
Orig_1,cav4,cav3,0.007352941176470588
Orig_2,cav1,cav2,0.2832512315270936
Orig_2,cav1,cav3,0.11576354679802955
Orig_2,cav1,cav4,0.12807881773399016
Orig_2,cav2,cav1,0.05665024630541872
Orig_2,cav2,cav3,0.09113300492610837
Orig_2,cav2,cav4,-0.11576354679802955
Orig_2,cav3,cav1,-0.04926108374384237
Orig_2,cav3,cav2,0.14285714285714285
Orig_2,cav3,cav4,0.07142857142857142
Orig_2,cav4,cav1,0.10591133004926108
Orig_2,cav4,cav2,0.2832512315270936
Orig_2,cav4,cav3,0.2019704433497537
Orig_3,cav1,cav2,-0.015873015873015872
Orig_3,cav1,cav3,0.031746031746031744
Orig_3,cav1,cav4,-0.07671957671957672
Orig_3,cav2,cav1,-0.018518518518518517
Orig_3,cav2,cav3,0.13227513227513227
Orig_3,cav2,cav4,-0.1349206349206349
Orig_3,cav3,cav1,0.16666666666666666
Orig_3,cav3,cav2,0.06084656084656084
Orig_3,cav3,cav4,-0.23544973544973544
Orig_3,cav4,cav1,-0.015873015873015872
Orig_3,cav4,cav2,0.10846560846560846
Orig_3,cav4,cav3,0.037037037037037035
Orig_4,cav1,cav2,0.08735632183908046
Orig_4,cav1,cav3,-0.07816091954022988
Orig_4,cav1,cav4,0.11494252873563218
Orig_4,cav2,cav1,0.07586206896551724
Orig_4,cav2,cav3,0.022988505747126436
Orig_4,cav2,cav4,-0.022988505747126436
Orig_4,cav3,cav1,0.06436781609195402
Orig_4,cav3,cav2,-0.0896551724137931
Orig_4,cav3,cav4,0.034482758620689655
Orig_4,cav4,cav1,0.1724137931034483
Orig_4,cav4,cav2,0.006896551724137931
Orig_4,cav4,cav3,0.1310344827586207
Orig_5,cav1,cav2,0.06153846153846154
Orig_5,cav1,cav3,0.0009324009324009324
Orig_5,cav1,cav4,0.05874125874125874
Orig_5,cav2,cav1,-0.014452214452214453
Orig_5,cav2,cav3,0.009324009324009324
Orig_5,cav2,cav4,-0.031235431235431235
Orig_5,cav3,cav1,0.08484848484848485
Orig_5,cav3,cav2,0.11794871794871795
Orig_5,cav3,cav4,0.04895104895104895
Orig_5,cav4,cav1,0.11421911421911422
Orig_5,cav4,cav2,0.013986013986013986
Orig_5,cav4,cav3,0.05174825174825175
